raw_city,raw_state,standardized_city,standardized_state,match_method
acrelandia,AC,Acrelândia,AC,municipio
acrelândia,AC,Acrelândia,AC,municipio
assis brasil,AC,Assis Brasil,AC,municipio
brasileia,AC,Brasiléia,AC,municipio
brasiléia,AC,Brasiléia,AC,municipio
bujari,AC,Bujari,AC,municipio
campinas,AC,Plácido de Castro,AC,distrito
capixaba,AC,Capixaba,AC,municipio
cruzeiro do sul,AC,Cruzeiro do Sul,AC,municipio
epitaciolandia,AC,Epitaciolândia,AC,municipio
epitaciolândia,AC,Epitaciolândia,AC,municipio
feijo,AC,Feijó,AC,municipio
feijó,AC,Feijó,AC,municipio
jordao,AC,Jordão,AC,municipio
jordão,AC,Jordão,AC,municipio
mancio lima,AC,Mâncio Lima,AC,municipio
manoel urbano,AC,Manoel Urbano,AC,municipio
marechal thaumaturgo,AC,Marechal Thaumaturgo,AC,municipio
mâncio lima,AC,Mâncio Lima,AC,municipio
placido de castro,AC,Plácido de Castro,AC,municipio
plácido de castro,AC,Plácido de Castro,AC,municipio
porto acre,AC,Porto Acre,AC,municipio
porto walter,AC,Porto Walter,AC,municipio
rio bracnco,AC,Rio Branco,AC,fuzzy
rio branco,AC,Rio Branco,AC,municipio
rio de janeiro,AC,Rio de Janeiro,RJ,viacep
rodrigues alves,AC,Rodrigues Alves,AC,municipio
santa rosa do purus,AC,Santa Rosa do Purus,AC,municipio
sao paulo,AC,São Paulo,SP,viacep
sena madureira,AC,Sena Madureira,AC,municipio
senador guiomard,AC,Senador Guiomard,AC,municipio
tarauaca,AC,Tarauacá,AC,municipio
tarauacá,AC,Tarauacá,AC,municipio
xapuri,AC,Xapuri,AC,municipio
agua branca,AL,Água Branca,AL,municipio
anadia,AL,Anadia,AL,municipio
arapiraca,AL,Arapiraca,AL,municipio
atalaia,AL,Atalaia,AL,municipio
barra de  santo antônio,AL,Barra de Santo Antônio,AL,municipio
barra de santo antonio,AL,Barra de Santo Antônio,AL,municipio
barra de santo antônio,AL,Barra de Santo Antônio,AL,municipio
barra de sao miguel,AL,Barra de São Miguel,AL,municipio
barra de são miguel,AL,Barra de São Miguel,AL,municipio
batalha,AL,Batalha,AL,municipio
belem,AL,Belém,AL,municipio
boca da mata,AL,Boca da Mata,AL,municipio
branquinha,AL,Branquinha,AL,municipio
cacimbinhas,AL,Cacimbinhas,AL,municipio
cajueiro,AL,Cajueiro,AL,municipio
campestre,AL,Campestre,AL,municipio
campo alegre,AL,Campo Alegre,AL,municipio
campo grande,AL,Campo Grande,AL,municipio
canapi,AL,Canapi,AL,municipio
capela,AL,Capela,AL,municipio
carneiros,AL,Carneiros,AL,municipio
cha preta,AL,Chã Preta,AL,municipio
chã preta,AL,Chã Preta,AL,municipio
coite do noia,AL,Coité do Nóia,AL,municipio
colonia leopoldina,AL,Colônia Leopoldina,AL,municipio
colônia leopoldina,AL,Colônia Leopoldina,AL,municipio
coqueiro seco,AL,Coqueiro Seco,AL,municipio
coruripe,AL,Coruripe,AL,municipio
craibas,AL,Craíbas,AL,municipio
delmiro gouveia,AL,Delmiro Gouveia,AL,municipio
dois riachos,AL,Dois Riachos,AL,municipio
